"Genes","Scores","Type","Description"
"HLA-B","0.0002111","Peripheral","major histocompatibility complex, class I, B"
"IL13RA1","0.0002105","Peripheral","interleukin 13 receptor subunit alpha 1"
"DNMT3B","0.0002103","Core","DNA methyltransferase 3 beta"
"LY6G6F","0.0002098","Peripheral","lymphocyte antigen 6 family member G6F"
"STAT5A","0.0002093","Peripheral","signal transducer and activator of transcription 5A"
"STAMBPL1","0.0002092","Core","STAM binding protein like 1"
"FAS-AS1","0.0002062","Core","FAS antisense RNA 1"
"SLC9A8","0.0002062","Core","solute carrier family 9 member A8"
"IL6","0.0002061","Peripheral","interleukin 6"
"IL22RA2","0.000206","Peripheral","interleukin 22 receptor subunit alpha 2"
"LORICRIN","0.0002056","Peripheral","loricrin cornified envelope precursor protein"
"IVL","0.0002052","Peripheral","involucrin"
"CCL21","0.0002051","Core","C-C motif chemokine ligand 21"
"NOTCH1","0.000205","Core","notch receptor 1"
"KCNIP3","0.0002046","Peripheral","potassium voltage-gated channel interacting protein 3"
"GATAD1","0.0002034","Peripheral","GATA zinc finger domain containing 1"
"RIC8A","0.0002031","Peripheral","RIC8 guanine nucleotide exchange factor A"
"ZNF668","0.0002015","Core","zinc finger protein 668"
"ATG16L2","0.0002005","Peripheral","autophagy related 16 like 2"
"RIMBP3","0.0002003","Peripheral","RIMS binding protein 3"
"UPK3A","0.0001998","Core","uroplakin 3A"
"CASP14","0.0001997","Peripheral","caspase 14"
"ZDHHC9","0.0001993","Peripheral","zinc finger DHHC-type palmitoyltransferase 9"
"PPT1","0.0001989","Peripheral","palmitoyl-protein thioesterase 1"
"PFKL","0.0001968","Peripheral","phosphofructokinase, liver type"
"NLRP1","0.0001965","Peripheral","NLR family pyrin domain containing 1"
"FADD","0.0001964","Peripheral","Fas associated via death domain"
"IL27RA","0.0001941","Peripheral","interleukin 27 receptor subunit alpha"
"TLR4","0.0001938","Core","toll like receptor 4"
"WFS1","0.0001928","Peripheral","wolframin ER transmembrane glycoprotein"
"CLEC4M","0.0001927","Peripheral","C-type lectin domain family 4 member M"
"IL20","0.0001923","Peripheral","interleukin 20"
"KLHDC8B","0.0001914","Core","kelch domain containing 8B"
"IL20RA","0.0001899","Peripheral","interleukin 20 receptor subunit alpha"
"IST1","0.0001897","Peripheral","IST1 factor associated with ESCRT-III"
"MIB2","0.0001892","Peripheral","MIB E3 ubiquitin protein ligase 2"
"TRAF2","0.0001882","Peripheral","TNF receptor associated factor 2"
"OPN1SW","0.0001879","Peripheral","opsin 1, short wave sensitive"
"BECN1","0.0001865","Peripheral","beclin 1"
"AGR3","0.0001856","Peripheral","anterior gradient 3, protein disulphide isomerase family member"
"POFUT1","0.0001846","Core","protein O-fucosyltransferase 1"
"IKBKE","0.0001842","Peripheral","inhibitor of nuclear factor kappa B kinase subunit epsilon"
"KEAP1","0.0001841","Core","kelch like ECH associated protein 1"
"ASXL1","0.0001838","Core","ASXL transcriptional regulator 1"
"IL10RA","0.0001838","Peripheral","interleukin 10 receptor subunit alpha"
"TRADD","0.0001819","Peripheral","TNFRSF1A associated via death domain"
"ERC1","0.0001815","Peripheral","ELKS/RAB6-interacting/CAST family member 1"
"SPRR1B","0.0001811","Peripheral","small proline rich protein 1B"
"SMURF1","0.0001808","Core","SMAD specific E3 ubiquitin protein ligase 1"
"HDAC7","0.00018","Core","histone deacetylase 7"
"MIPEP","0.000179","Peripheral","mitochondrial intermediate peptidase"
"IL13RA2","0.0001781","Peripheral","interleukin 13 receptor subunit alpha 2"
"FBXW11","0.000178","Peripheral","F-box and WD repeat domain containing 11"
"IL10RB","0.0001778","Peripheral","interleukin 10 receptor subunit beta"
"COL28A1","0.0001777","Peripheral","collagen type XXVIII alpha 1 chain"
"IL22RA1","0.0001773","Peripheral","interleukin 22 receptor subunit alpha 1"
"CDSN","0.000177","Peripheral","corneodesmosin"
"NUDT8","0.0001763","Peripheral","nudix hydrolase 8"
"UQCR10","0.0001756","Core","ubiquinol-cytochrome c reductase, complex III subunit X"
"NLRC4","0.0001751","Peripheral","NLR family CARD domain containing 4"
"NOL4L","0.000175","Core","nucleolar protein 4 like"
"ZMAT5","0.0001748","Core","zinc finger matrin-type 5"
"PLAGL2","0.0001747","Core","PLAG1 like zinc finger 2"
"C3orf84","0.0001742","Core","chromosome 3 open reading frame 84"
"CCDC71","0.0001742","Core","coiled-coil domain containing 71"
"LAMB2P1","0.0001742","Core","laminin subunit beta 2 pseudogene 1"
"DAP","0.0001731","Core","death associated protein"
"FAM205A","0.0001731","Core","family with sequence similarity 205 member A"
"RNU6-1149P","0.0001731","Core","RNA, U6 small nuclear 1149, pseudogene"
"PRKCQ","0.000173","Core","protein kinase C theta"
"STAT6","0.000173","Peripheral","signal transducer and activator of transcription 6"
"EBI3","0.000173","Peripheral","Epstein-Barr virus induced 3"
"CCR5","0.0001728","Core","C-C motif chemokine receptor 5"
"ITGB2","0.0001726","Peripheral","integrin subunit beta 2"
"IL6ST","0.0001726","Peripheral","interleukin 6 cytokine family signal transducer"
"PRELID3B","0.0001723","Peripheral","PRELI domain containing 3B"
"ATG10","0.0001721","Peripheral","autophagy related 10"
"RELA","0.000171","Peripheral","RELA proto-oncogene, NF-kB subunit"
"MST1R","0.0001708","Peripheral","macrophage stimulating 1 receptor"
"NAA35","0.0001707","Peripheral","N-alpha-acetyltransferase 35, NatC auxiliary subunit"
"TBK1","0.0001693","Peripheral","TANK binding kinase 1"
"IL4R","0.0001693","Peripheral","interleukin 4 receptor"
"ASCC2","0.0001692","Core","activating signal cointegrator 1 complex subunit 2"
"SNAPC2","0.000169","Peripheral","small nuclear RNA activating complex polypeptide 2"
"RIPK1","0.0001689","Peripheral","receptor interacting serine/threonine kinase 1"
"ARHGAP29","0.0001686","Peripheral","Rho GTPase activating protein 29"
"B3GALNT2","0.0001685","Peripheral","beta-1,3-N-acetylgalactosaminyltransferase 2"
"TSPY26P","0.000168","Core","testis specific protein Y-linked 26, pseudogene"
"ICOS","0.0001676","Peripheral","inducible T cell costimulator"
"CALCOCO2","0.0001668","Peripheral","calcium binding and coiled-coil domain 2"
"TCHH","0.0001657","Peripheral","trichohyalin"
"ITCH","0.0001646","Peripheral","itchy E3 ubiquitin protein ligase"
"CASP8","0.000164","Peripheral","caspase 8"
"IRAK1","0.0001629","Peripheral","interleukin 1 receptor associated kinase 1"
"SPRR2D","0.0001625","Peripheral","small proline rich protein 2D"
"JAZF1","0.0001622","Core","JAZF zinc finger 1"
"SPRR2E","0.0001612","Peripheral","small proline rich protein 2E"
"SPTSSB","0.0001607","Peripheral","serine palmitoyltransferase small subunit B"
"SPRR2G","0.00016","Peripheral","small proline rich protein 2G"
"STAC2","0.0001586","Peripheral","SH3 and cysteine rich domain 2"
"SNAPC5","0.0001583","Peripheral","small nuclear RNA activating complex polypeptide 5"
"ERBIN","0.0001554","Peripheral","erbb2 interacting protein"
"SNAPC1","0.0001552","Peripheral","small nuclear RNA activating complex polypeptide 1"
"TMX3","0.0001548","Peripheral","thioredoxin related transmembrane protein 3"
"ITGAM","0.0001546","Peripheral","integrin subunit alpha M"
"IL12RB2","0.0001545","Peripheral","interleukin 12 receptor subunit beta 2"
"UNC13B","0.0001543","Peripheral","unc-13 homolog B"
"LIF","0.000154","Peripheral","LIF interleukin 6 family cytokine"
"CRLF1","0.0001539","Peripheral","cytokine receptor like factor 1"
"SPTSSA","0.0001539","Peripheral","serine palmitoyltransferase small subunit A"
"PTPA","0.0001534","Peripheral","protein phosphatase 2 phosphatase activator"
"RIMS1","0.0001532","Peripheral","regulating synaptic membrane exocytosis 1"
"SQSTM1","0.0001529","Peripheral","sequestosome 1"
"IRAK2","0.0001528","Peripheral","interleukin 1 receptor associated kinase 2"
"TNFRSF8","0.0001523","Peripheral","TNF receptor superfamily member 8"
"TRIM72","0.0001522","Peripheral","tripartite motif containing 72"
"PPFIA3","0.000152","Peripheral","PTPRF interacting protein alpha 3"
"POLR3G","0.0001519","Peripheral","RNA polymerase III subunit G"
"JAK3","0.0001517","Peripheral","Janus kinase 3"
"MLC1","0.0001512","Peripheral","modulator of VRAC current 1"
"TRAF3","0.000151","Peripheral","TNF receptor associated factor 3"
"IFNGR1","0.0001509","Peripheral","interferon gamma receptor 1"
"SPRR1A","0.0001508","Peripheral","small proline rich protein 1A"
"SEC16A","0.0001505","Core","SEC16 homolog A, endoplasmic reticulum export factor"
"HCK","0.0001497","Core","HCK proto-oncogene, Src family tyrosine kinase"
"CASP1","0.0001493","Peripheral","caspase 1"
"PIK3R1","0.0001485","Peripheral","phosphoinositide-3-kinase regulatory subunit 1"
"ANKRD49","0.0001484","Peripheral","ankyrin repeat domain 49"
"NKD2","0.0001482","Peripheral","NKD inhibitor of WNT signaling pathway 2"
"KIFAP3","0.0001477","Peripheral","kinesin associated protein 3"
"IKZF5","0.0001474","Peripheral","IKAROS family zinc finger 5"
"APOB","0.0001472","Peripheral","apolipoprotein B"
"MEFV","0.0001466","Peripheral","MEFV innate immuity regulator, pyrin"
"VIM","0.0001463","Peripheral","vimentin"
"NUMA1","0.0001458","Peripheral","nuclear mitotic apparatus protein 1"
"MSRB1","0.0001455","Peripheral","methionine sulfoxide reductase B1"
"CDKN1B","0.0001453","Peripheral","cyclin dependent kinase inhibitor 1B"
"KPNA7","0.0001453","Core","karyopherin subunit alpha 7"
"S100A11","0.0001449","Peripheral","S100 calcium binding protein A11"
"BDP1","0.0001447","Peripheral","B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB"
"NFKBIA","0.0001444","Peripheral","NFKB inhibitor alpha"
"ITLN2","0.000144","Peripheral","intelectin 2"
"IL24","0.0001439","Peripheral","interleukin 24"
"IFNA2","0.0001436","Peripheral","interferon alpha 2"
"FASLG","0.0001435","Peripheral","Fas ligand"
"STAT2","0.0001423","Peripheral","signal transducer and activator of transcription 2"
"TNIP2","0.0001421","Peripheral","TNFAIP3 interacting protein 2"
"POMGNT2","0.000142","Peripheral","protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)"
"RIPK3","0.000142","Peripheral","receptor interacting serine/threonine kinase 3"
"GOLGA7","0.0001419","Peripheral","golgin A7"
"HOMER1","0.0001406","Peripheral","homer scaffold protein 1"
"P3H3","0.0001404","Peripheral","prolyl 3-hydroxylase 3"
"GRB2","0.0001404","Peripheral","growth factor receptor bound protein 2"
"C9orf163","0.00014","Core","chromosome 9 putative open reading frame 163"
"FHL5","0.0001398","Peripheral","four and a half LIM domains 5"
"COL10A1","0.0001396","Peripheral","collagen type X alpha 1 chain"
"IL1B","0.000139","Peripheral","interleukin 1 beta"
"MAPRE1","0.0001389","Core","microtubule associated protein RP/EB family member 1"
"COL13A1","0.0001389","Peripheral","collagen type XIII alpha 1 chain"
"HSP90AA1","0.0001386","Peripheral","heat shock protein 90 alpha family class A member 1"
"CRLF2","0.000137","Peripheral","cytokine receptor like factor 2"
"POMK","0.0001367","Peripheral","protein O-mannose kinase"
"LCK","0.0001367","Peripheral","LCK proto-oncogene, Src family tyrosine kinase"
"PRSS53","0.0001365","Core","serine protease 53"
"ZNF646","0.0001365","Core","zinc finger protein 646"
"CD209","0.0001362","Peripheral","CD209 molecule"
"IL2RG","0.0001361","Peripheral","interleukin 2 receptor subunit gamma"
"POLR3E","0.000136","Peripheral","RNA polymerase III subunit E"
"PIK3CA","0.0001356","Peripheral","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
"SNAPC3","0.0001353","Peripheral","small nuclear RNA activating complex polypeptide 3"
"IL2RB","0.0001353","Peripheral","interleukin 2 receptor subunit beta"
"TLR2","0.0001351","Peripheral","toll like receptor 2"
"ALDH1L2","0.000134","Peripheral","aldehyde dehydrogenase 1 family member L2"
"IL18","0.0001333","Peripheral","interleukin 18"
"POLR3D","0.0001333","Peripheral","RNA polymerase III subunit D"
"UBC","0.0001328","Peripheral","ubiquitin C"
"CPEB4","0.0001322","Core","cytoplasmic polyadenylation element binding protein 4"
"MAP2K4","0.0001322","Peripheral","mitogen-activated protein kinase kinase 4"
"COL23A1","0.000132","Peripheral","collagen type XXIII alpha 1 chain"
"CAPN2","0.000132","Peripheral","calpain 2"
"IKZF4","0.000132","Peripheral","IKAROS family zinc finger 4"
"C5orf47","0.0001314","Core","chromosome 5 open reading frame 47"
"LINC02800","0.0001314","Core","long intergenic non-protein coding RNA 2800"
"ALDH1L1","0.000131","Peripheral","aldehyde dehydrogenase 1 family member L1"
"CAV3","0.0001307","Peripheral","caveolin 3"
"PRODH2","0.00013","Peripheral","proline dehydrogenase 2"
"POMT2","0.0001298","Peripheral","protein O-mannosyltransferase 2"
"ITGA1","0.0001296","Peripheral","integrin subunit alpha 1"
"SPRR2F","0.0001295","Peripheral","small proline rich protein 2F"
"POLR3F","0.0001291","Peripheral","RNA polymerase III subunit F"
"TXNRD2","0.0001291","Peripheral","thioredoxin reductase 2"
"NDOR1","0.0001288","Peripheral","NADPH dependent diflavin oxidoreductase 1"
"MTHFD2","0.0001282","Peripheral","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"MTHFD2L","0.0001282","Peripheral","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like"
"COL25A1","0.0001276","Peripheral","collagen type XXV alpha 1 chain"
"P3H2","0.0001272","Peripheral","prolyl 3-hydroxylase 2"
"MAP2K3","0.0001272","Peripheral","mitogen-activated protein kinase kinase 3"
"COL21A1","0.0001265","Peripheral","collagen type XXI alpha 1 chain"
"ICAM2","0.0001259","Peripheral","intercellular adhesion molecule 2"
"WIPI2","0.0001259","Peripheral","WD repeat domain, phosphoinositide interacting 2"
"RAB33B","0.0001255","Peripheral","RAB33B, member RAS oncogene family"
"SCLY","0.0001255","Peripheral","selenocysteine lyase"
"RGS12","0.0001254","Peripheral","regulator of G protein signaling 12"
"ITGB1","0.0001252","Peripheral","integrin subunit beta 1"
"WIPI1","0.0001251","Peripheral","WD repeat domain, phosphoinositide interacting 1"
"TRAF1","0.0001251","Peripheral","TNF receptor associated factor 1"
"TLR10","0.0001249","Peripheral","toll like receptor 10"
"ATE1","0.0001243","Peripheral","arginyltransferase 1"
"PRDX3","0.0001239","Peripheral","peroxiredoxin 3"
"POMT1","0.0001236","Peripheral","protein O-mannosyltransferase 1"
"MAP2K7","0.0001236","Peripheral","mitogen-activated protein kinase kinase 7"
"PRPF3","0.000123","Peripheral","pre-mRNA processing factor 3"
"LAX1","0.0001229","Peripheral","lymphocyte transmembrane adaptor 1"
"MTHFD1L","0.0001229","Peripheral","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like"
"NAA30","0.0001228","Peripheral","N-alpha-acetyltransferase 30, NatC catalytic subunit"
"CXCL1","0.0001225","Peripheral","C-X-C motif chemokine ligand 1"
"SYK","0.0001224","Peripheral","spleen associated tyrosine kinase"
"CXCL2","0.0001223","Peripheral","C-X-C motif chemokine ligand 2"
"MAPK9","0.0001223","Peripheral","mitogen-activated protein kinase 9"
"COL19A1","0.0001219","Peripheral","collagen type XIX alpha 1 chain"
"CDK16","0.0001218","Peripheral","cyclin dependent kinase 16"
"EGFR","0.0001217","Peripheral","epidermal growth factor receptor"
"IFNAR1","0.0001216","Peripheral","interferon alpha and beta receptor subunit 1"
"COL20A1","0.0001215","Peripheral","collagen type XX alpha 1 chain"
"COL22A1","0.0001215","Peripheral","collagen type XXII alpha 1 chain"
"CSF3R","0.0001213","Peripheral","colony stimulating factor 3 receptor"
"IFNAR2","0.0001212","Peripheral","interferon alpha and beta receptor subunit 2"
"SPTLC3","0.0001212","Peripheral","serine palmitoyltransferase long chain base subunit 3"
"APCS","0.000121","Peripheral","amyloid P component, serum"
"PYCR3","0.0001209","Peripheral","pyrroline-5-carboxylate reductase 3"
"ATG9A","0.0001209","Peripheral","autophagy related 9A"
"PRKCD","0.0001208","Peripheral","protein kinase C delta"
"CAPN1","0.0001206","Peripheral","calpain 1"
"MTHFR","0.0001204","Peripheral","methylenetetrahydrofolate reductase"
"MAP2K6","0.0001204","Peripheral","mitogen-activated protein kinase kinase 6"
"MTFMT","0.0001204","Peripheral","mitochondrial methionyl-tRNA formyltransferase"
"CDK17","0.0001203","Peripheral","cyclin dependent kinase 17"
"CCRL2","0.0001202","Core","C-C motif chemokine receptor like 2"
"ARHGAP20","0.0001201","Peripheral","Rho GTPase activating protein 20"
"ARHGEF17","0.0001201","Peripheral","Rho guanine nucleotide exchange factor 17"
"ARHGEF10","0.0001201","Peripheral","Rho guanine nucleotide exchange factor 10"
"ARHGEF10L","0.0001201","Peripheral","Rho guanine nucleotide exchange factor 10 like"
"FARP1","0.0001201","Peripheral","FERM, ARH/RhoGEF and pleckstrin domain protein 1"
"PRODH","0.00012","Peripheral","proline dehydrogenase 1"
"DRP2","0.00012","Peripheral","dystrophin related protein 2"
"MSL1","0.00012","Peripheral","MSL complex subunit 1"
"OSM","0.0001197","Peripheral","oncostatin M"
"PHF12","0.0001193","Peripheral","PHD finger protein 12"
"SRC","0.0001191","Peripheral","SRC proto-oncogene, non-receptor tyrosine kinase"
"POU2F1","0.0001185","Peripheral","POU class 2 homeobox 1"
"MALT1","0.0001184","Peripheral","MALT1 paracaspase"
"CIAO1","0.0001177","Peripheral","cytosolic iron-sulfur assembly component 1"
"TRAF3IP3","0.0001176","Peripheral","TRAF3 interacting protein 3"
"CCR2","0.0001175","Peripheral","C-C motif chemokine receptor 2"
"RAB3A","0.0001173","Peripheral","RAB3A, member RAS oncogene family"
"DDX58","0.0001172","Peripheral","DExD/H-box helicase 58"
